"ticker_code","sector_name","statement_date","stocks_amount","div_yield","assets","disponibility","current_assets","gross_debt","net_debt","liquid_equity","net_revenue","ebit","liquid_profit","price_date","price_value"
CLSC3,Utilidade Pública,2022-03-31,38572000,6.90,12919100000,1707400000,4783760000,2587500000,880100000,11495000000,2846530000,827952000,623877000,2022-06-10,57.0
ALUP3,Utilidade Pública,2022-03-31,879111000,4.70,26561100000,2000180000,4500530000,9982670000,7982490000,4913250000,7084130000,3698450000,1222960000,2022-06-22,8.79
SAPR3,Utilidade Pública,2022-03-31,1511210000,5.80,15629500000,1590810000,2740100000,4736740000,3145930000,5384780000,8118290000,2149900000,1223080000,2022-06-22,3.65
CPRE3,Utilidade Pública,2022-03-31,593783000,0.00,12330200000,1165340000,1799690000,2283640000,1118300000,3477190000,5883390000,1956790000,1409040000,2020-07-02,18.23
CPLE3,Utilidade Pública,2022-03-31,2736550000,16.70,50310600000,3985800000,11946600000,11831500000,7845670000,24586200000,22501400000,3875570000,4831070000,2022-06-22,6.32
CPFE3,Utilidade Pública,2022-03-31,1152250000,16.20,66823600000,4077330000,16444700000,22471700000,18394400000,40209500000,16244700000,7976480000,4904180000,2022-06-22,32.09
CGAS3,Utilidade Pública,2022-03-31,132521000,15.40,12906900000,1477620000,5700370000,7403250000,5925630000,12992200000,874785000,2682050000,2089050000,2022-06-17,105.51
AESB3,Utilidade Pública,2022-03-31,492106000,0.50,12666300000,2225410000,2842860000,6459230000,4233820000,2631830000,3263940000,324122000,411359000,2022-06-22,10.63
NEOE3,Utilidade Pública,2022-03-31,1213800000,4.80,87712000000,5430000000,22506000000,39350000000,33920000000,44716000000,24913000000,9692000000,4130000000,2022-06-22,16.18
TRPL3,Utilidade Pública,2022-03-31,658883000,6.70,30008400000,1199240000,4054690000,7806850000,6607610000,5806170000,14896500000,4024640000,2979050000,2022-06-22,30.53
EGIE3,Utilidade Pública,2022-03-31,815928000,6.00,39605100000,4587650000,8048050000,20592700000,16005000000,12353000000,8359300000,5704570000,1679640000,2022-06-22,41.51
TAEE3,Utilidade Pública,2022-03-31,1033500000,9.50,17394200000,1453200000,3327000000,7689630000,6236440000,3359250000,7244800000,2674630000,2217780000,2022-06-22,13.32
SBSP3,Utilidade Pública,2022-03-31,683510000,2.30,54094500000,3406700000,7000000000,17628100000,14221400000,19684000000,25907400000,4137020000,2784550000,2022-06-22,41.52
GEPA3,Utilidade Pública,2022-03-31,94433000,0.00,3975690000,248705000,477507000,1212250000,963541000,1372690000,1978410000,208306000,56361000,2022-06-20,25.89
CESP3,Utilidade Pública,2022-03-31,327503000,0.00,14406000000,601783000,1157960000,2032240000,1430460000,2316980000,7583450000,1188300000,324915000,2022-03-25,25.55
CMIG3,Utilidade Pública,2022-03-31,2201370000,6.40,51067400000,2384710000,12533800000,9849700000,7464990000,34382800000,20667000000,6170010000,4784480000,2022-06-22,15.47
AFLT3,Utilidade Pública,2022-03-31,63085000,4.70,280177000,20614000,64728000,487000,-20127000,125656000,256222000,105859000,102431000,2022-06-22,8.89
SMTO3,Consumo não Cíclico,2022-03-31,354011000,5.70,17359100000,2972770000,5553540000,8895200000,5922430000,5719950000,5318430000,1966520000,1480870000,2022-06-22,39.41
